,popularity,budget,revenue,original_title,cast,director,runtime,vote_average,release_year,genre,production_company
19,5.476958,160000000.0,650523427.0,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,136,6.5,2015,War,Studio Babelsberg
20,5.462138,190000000.0,209035668.0,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,130,6.2,2015,Action,Walt Disney Pictures
21,5.337064,30000000.0,91709827.0,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,123,7.3,2015,Action,Escape Artists
22,4.907832,110000000.0,470490832.0,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,114,6.1,2015,Action,New Line Cinema
23,4.710402,40000000.0,569651467.0,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,125,5.3,2015,Drama,Focus Features
24,4.648046,28000000.0,133346506.0,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,130,7.3,2015,Comedy,Paramount Pictures
25,4.566713,150000000.0,682330139.0,Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,131,7.1,2015,Action,Paramount Pictures
26,4.564549,68000000.0,215863606.0,Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Seth MacFarlane,115,6.3,2015,Comedy,Universal Pictures
27,4.503789,81000000.0,403802136.0,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Matthew Vaughn,130,7.6,2015,Crime,Twentieth Century Fox Film Corporation
28,4.062293,20000000.0,88346473.0,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,128,7.8,2015,Drama,Participant Media
29,3.968891,61000000.0,311256926.0,Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Wes Ball,132,6.4,2015,Action,Gotham Group
30,3.927333,14767252.73739476,29355203.0,Mr. Holmes,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,Bill Condon,103,6.4,2015,Mystery,BBC Films
31,3.899557,49000000.0,102069268.0,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,120,6.6,2015,Crime,Columbia Pictures
32,3.877764,29000000.0,287506194.0,Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,115,6.8,2015,Comedy,Universal Pictures
33,3.64821,40000000.0,162610473.0,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,Steven Spielberg,141,7.1,2015,Thriller,DreamWorks SKG
34,3.644541,58000000.0,150170815.0,Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,103,6.2,2015,Adventure,Columbia Pictures
35,3.557846,6000000.0,35401758.0,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,117,8.0,2015,Drama,Element Pictures
36,3.358321,14767252.73739476,22354572.0,Solace,Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton,Afonso Poyart,101,6.2,2015,Crime,Eden Rock Media
37,3.339135,175000000.0,331926147.0,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,93,6.6,2015,Adventure,Walt Disney Pictures
38,3.23737,50000000.0,71561644.0,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,114,6.3,2015,Action,Vertigo Entertainment
39,3.227329,11000000.0,62076141.0,Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,111,7.3,2015,Drama,Wildgaze Films
40,3.202719,28000000.0,201634991.0,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray,147,7.7,2015,Drama,New Line Cinema
41,3.080505,90000000.0,140396650.0,The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Breck Eisner,106,5.6,2015,Fantasy,Summit Entertainment
42,3.079522,30000000.0,34441873.0,Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,Danny Boyle,122,6.9,2015,History,Universal Pictures
43,3.053421,75000000.0,108145109.0,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Guy Ritchie,116,7.0,2015,Comedy,Davis Entertainment
44,3.025852,25000000.0,42629776.0,The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,112,7.3,2015,Fantasy,Lakeshore Entertainment
45,3.023253,10000000.0,14333790.0,Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Ilya Naishuller,97,5.9,2015,Action,Bazelevs Production
46,2.976436,135000000.0,368871007.0,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,94,6.9,2015,Fantasy,Twentieth Century Fox Film Corporation
47,2.968254,12000000.0,85512300.0,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,109,6.2,2015,Drama,Fox 2000 Pictures
48,2.93234,30000000.0,40086576.743638255,Wild Card,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,Simon West,92,5.3,2015,Thriller,Current Entertainment
49,2.885126,4000000.0,9064511.0,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,118,6.6,2015,Thriller,Haut et Court
50,2.883233,11800000.0,40272135.0,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,118,7.1,2015,Romance,Killer Films
51,2.814802,35000000.0,194564672.0,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,121,7.1,2015,Comedy,Waverly Films
52,2.798017,55000000.0,203427584.0,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,121,6.7,2015,Adventure,Universal Pictures
53,2.793297,60000000.0,101134059.0,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,124,6.4,2015,Comedy,Fox 2000 Pictures
54,2.614499,105000000.0,133718711.0,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,114,5.5,2015,Action,Studio Babelsberg
55,2.584264,20000000.0,36606743.0,Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,John Wells,100,6.3,2015,Drama,Double Feature Films
56,2.578919,26000000.0,30523226.0,Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Tarsem Singh,116,6.2,2015,Science Fiction,Endgame Entertainment
57,2.575711,60000000.0,30418560.0,Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,106,5.3,2015,Comedy,Lionsgate
58,2.557859,15000000.0,64191523.0,The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Tom Hooper,120,7.3,2015,Drama,Pretty Pictures
59,2.550747,70000000.0,17752940.0,Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Michael Mann,133,5.0,2015,Mystery,Universal Pictures
60,2.487849,30000000.0,84025816.0,Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Denis Villeneuve,121,7.1,2015,Action,Lionsgate
61,2.487042,120000001.0,167977596.0,Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Josh Trank,100,4.4,2015,Action,Twentieth Century Fox Film Corporation
62,2.46449,3500000.0,40423945.0,The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,92,5.8,2015,Mystery,Parts and Labor
63,2.404473,65000000.0,235666219.0,Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Paul Feig,120,6.9,2015,Action,Twentieth Century Fox Film Corporation
64,2.395366,50100000.0,153962963.0,Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,105,6.7,2015,Romance,Kramer & Sigman Films
65,2.354654,35000000.0,82347656.0,Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,96,5.5,2015,Action,Twentieth Century Fox Film Corporation
66,2.345821,100000000.0,93820758.0,In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Ron Howard,122,6.4,2015,Thriller,Imagine Entertainment
67,2.331636,20000000.0,40086576.743638255,Survivor,Pierce Brosnan|Milla Jovovich|Dylan McDermott|Angela Bassett|Robert Forster,James McTeigue,96,5.4,2015,Crime,Nu Image Films
68,2.331567,35000000.0,137935567.0,Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Ryan Coogler,133,7.3,2015,Drama,New Line Cinema
69,2.31767,35000000.0,140795793.0,Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Judd Apatow,125,6.1,2015,Comedy,Universal Pictures
70,2.29573,13000000.0,32848185.0,Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Gavin Hood,102,7.2,2015,Drama,Entertainment One
71,2.28135,25000000.0,42972994.0,Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Brian Helgeland,131,6.7,2015,Crime,Working Title Films
72,2.272044,14767252.73739476,45895.0,Beyond the Reach,Michael Douglas|Jeremy Irvine|Hanna Mangan Lawrence|Ronny Cox|Martin Palmer,Jean-Baptiste LÃ©onetti,95,5.5,2015,Thriller,Furthur Films
73,2.234573,150000000.0,128388320.0,Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Joe Wright,111,5.9,2015,Adventure,Warner Bros.
74,2.165433,14767252.73739476,40086576.743638255,Mythica: The Darkspore,Melanie Stone|Kevin Sorbo|Adam Johnson|Jake Stormoen|Rocky Myers,Anne K. Black,108,5.1,2015,Action,Arrowstorm Entertainment
75,2.141506,14767252.73739476,40086576.743638255,Me and Earl and the Dying Girl,Thomas Mann|RJ Cyler|Olivia Cooke|Connie Britton|Nick Offerman,Alfonso Gomez-Rejon,105,7.7,2015,Comedy,Indian Paintbrush
76,2.140199,99000000.0,246233113.0,The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Steve Martino,88,6.4,2015,Adventure,Blue Sky Studios
77,2.121884,35000000.0,48623572.0,Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Peter Landesman,123,6.9,2015,Drama,Village Roadshow Pictures
78,2.096273,25000000.0,52395996.0,The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Jonathan Levine,100,6.1,2015,Comedy,Sony Pictures
79,2.080935,2500000.0,5214043.0,Knock Knock,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,Eli Roth,99,4.8,2015,Drama,Universum Film (UFA)
80,2.070708,34000000.0,63013281.0,The Longest Ride,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,"George Tillman, Jr.",128,7.3,2015,Romance,Fox 2000 Pictures
81,2.060162,80000000.0,466183544.0,Hotel Transylvania 2,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,Genndy Tartakovsky,89,6.8,2015,Animation,Columbia Pictures
82,2.055572,17000000.0,24000000.0,Love the Coopers,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,Jessie Nelson,107,5.3,2015,Family,Imagine Entertainment
83,2.049886,35000000.0,61181942.0,The Walk,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,Robert Zemeckis,123,6.8,2015,Adventure,TriStar Pictures
84,2.026651,11000000.0,1863315.0,Tracers,Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina,Daniel Benmayor,94,5.9,2015,Action,Temple Hill Entertainment
85,2.000338,31000000.0,104384188.0,Vacation,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,John Francis Daley|Jonathan M. Goldstein,99,6.1,2015,Adventure,New Line Cinema
86,1.984529,35000000.0,95437994.0,Poltergeist,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,Gil Kenan,93,5.0,2015,Horror,Ghost House Pictures
87,1.980039,4000000.0,187112.0,Maggie,Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore,Henry Hobson,95,5.1,2015,Horror,Lionsgate
88,1.959765,14767252.73739476,2000000.0,Equals,Kristen Stewart|Nicholas Hoult|Guy Pearce|Jacki Weaver|Bel Powley,Drake Doremus,101,5.6,2015,Drama,Scott Free Productions
89,1.95632,50000000.0,3324330.0,Child 44,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,Daniel Espinosa,137,5.9,2015,Crime,Summit Entertainment
90,1.926739,5000000.0,58978653.0,The Gift,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,Joel Edgerton,108,6.6,2015,Thriller,Blumhouse Productions
91,1.904898,50000000.0,240360392.0,Daddy's Home,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,Sean Anders,96,5.7,2015,Comedy,Paramount Pictures
92,1.876037,14767252.73739476,40086576.743638255,Mythica: The Necromancer,Melanie Stone|Adam Johnson|Kevin Sorbo|Nicola Posener|Jake Stormoen,A. Todd Smith,0,5.4,2015,Fantasy,Arrowstorm Entertainment
93,1.872696,10000000.0,40086576.743638255,Vice,Ambyr Childers|Thomas Jane|Bryan Greenberg|Bruce Willis|Johnathon Schaech,Brian A Miller,96,4.1,2015,Thriller,Grindstone Entertainment Group
94,1.865007,64000000.0,97571250.0,The Little Prince,Jeff Bridges|Rachel McAdams|Paul Rudd|Marion Cotillard|James Franco,Mark Osborne,92,7.5,2015,Adventure,Onyx Films
95,1.841779,14767252.73739476,233755553.0,Alvin and the Chipmunks: The Road Chip,Jason Lee|Justin Long|Bella Thorne|Matthew Gray Gubler|Jesse McCartney,Walt Becker,92,5.7,2015,Adventure,Regency Enterprises
96,1.82313,11930000.0,18340000.0,The Dressmaker,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,Jocelyn Moorhouse,118,6.9,2015,Drama,Amazon Studios
97,1.758618,8500000.0,43528634.0,The DUFF,Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels,Ari Sandel,100,6.8,2015,Romance,Wonderland Sound and Vision
98,1.742286,10000000.0,52882018.0,Sinister 2,Shannyn Sossamon|James Ransone|Tate Ellington|Nicholas King|Lucas Jade Zumann,Ciaran Foy,97,5.5,2015,Horror,Alliance Films
99,1.73518,30000000.0,107597242.0,Paul Blart: Mall Cop 2,Kevin James|Raini Rodriguez|Eduardo VerÃ¡stegui|Daniella Alonso|Neal McDonough,Andy Fickman,94,5.3,2015,Action,Columbia Pictures
100,1.724712,14767252.73739476,40086576.743638255,Frozen Fever,Kristen Bell|Idina Menzel|Jonathan Groff|Josh Gad|Chris Williams,Chris Buck|Jennifer Lee,8,7.0,2015,Adventure,Walt Disney Pictures
101,1.661789,14767252.73739476,40086576.743638255,High-Rise,Tom Hiddleston|Sienna Miller|Jeremy Irons|Luke Evans|Elisabeth Moss,Ben Wheatley,119,5.4,2015,Action,Ingenious Media
102,1.651078,4000000.0,50163103.0,The Boy Next Door,Jennifer Lopez|Ryan Guzman|Ian Nelson|John Corbett|Kristin Chenoweth,Rob Cohen,91,3.9,2015,Thriller,Universal Pictures
103,1.646664,14767252.73739476,40086576.743638255,Spooks: The Greater Good,Peter Firth|Kit Harington|Jennifer Ehle|Lara Pulver|Elyes Gabel,Bharat Nalluri,104,5.6,2015,Thriller,BBC Films
104,1.532997,30000000.0,49263404.0,Entourage,Jeremy Piven|Adrian Grenier|Jerry Ferrara|Kevin Connolly|Kevin Dillon,Doug Ellin,104,6.2,2015,Comedy,Warner Bros.
105,1.510096,23000000.0,79799880.0,The Wedding Ringer,Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett|Jorge Garcia,Jeremy Garelick,101,6.5,2015,Comedy,Miramax Films
106,1.499614,15000000.0,14860766.0,Scouts Guide to the Zombie Apocalypse,Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner,Christopher B. Landon,93,6.2,2015,Comedy,Paramount Pictures
107,1.495112,5000000.0,98450062.0,The Visit,Olivia DeJonge|Ed Oxenbould|Kathryn Hahn|Benjamin Kanes|Deanna Dunagan,M. Night Shyamalan,94,5.9,2015,Horror,Blumhouse Productions
108,1.483246,53000000.0,99775678.0,Black Mass,Johnny Depp|Joel Edgerton|Benedict Cumberbatch|Dakota Johnson|Kevin Bacon,Scott Cooper,122,6.3,2015,Crime,Infinitum Nihil
109,1.449072,8900000.0,50136.0,Heist,Jeffrey Dean Morgan|Robert De Niro|Kate Bosworth|Dave Bautista|Gina Carano,Scott Mann,93,5.4,2015,Crime,Emmett/Furla Films
110,1.448002,15000000.0,61548707.0,Krampus,Adam Scott|Toni Collette|Allison Tolman|David Koechner|Emjay Anthony,Michael Dougherty,98,5.9,2015,Horror,Universal Pictures
111,1.443406,20000000.0,208588.0,Dark Places,Charlize Theron|Nicholas Hoult|Christina Hendricks|ChloÃ« Grace Moretz|Tye Sheridan,Gilles Paquet-Brenner,113,5.7,2015,Drama,Denver and Delilah Productions
112,1.41239,5000000.0,54418872.0,No Escape,Owen Wilson|Lake Bell|Pierce Brosnan|Sterling Jerins|Spencer Garrett,John Erick Dowdle,103,6.7,2015,Action,Bold Films
113,1.40805,700000.0,17986781.0,Dope,Shameik Moore|Kiersey Clemons|Tony Revolori|ZoÃ« Kravitz|Chanel Iman,Rick Famuyiwa,103,7.3,2015,Crime,Forest Whitaker's Significant Productions
114,1.388251,28000000.0,28208085.0,American Ultra,Jesse Eisenberg|Kristen Stewart|Topher Grace|Connie Britton|Walton Goggins,Nima Nourizadeh,96,5.9,2015,Comedy,Concorde Filmverleih
115,1.388032,11000000.0,61619773.0,Woman in Gold,Helen Mirren|Ryan Reynolds|Tatiana Maslany|Katie Holmes|Max Irons,Simon Curtis,120,7.3,2015,Drama,BBC Films
116,1.38032,14767252.73739476,40086576.743638255,The Scorpion King: The Lost Throne,Victor Webster|Ellen Hollman|Barry Bostwick|Will Kemp|M. Emmet Walsh,Mike Elliott,105,4.5,2015,Action,Universal Pictures
117,1.376605,30000000.0,105011053.0,Sisters,Tina Fey|Amy Poehler|John Leguizamo|Ike Barinholtz|Maya Rudolph,Jason Moore,118,5.9,2015,Comedy,Little Stranger
118,1.360926,12000000.0,32248241.0,Project Almanac,Jonny Weston|Virginia Gardner|Sofia Black-D'Elia|Sam Lerner|Allen Evangelista,Dean Israelite,106,6.3,2015,Science Fiction,Paramount Pictures
119,1.360827,14767252.73739476,5189646.0,Absolutely Anything,Simon Pegg|Kate Beckinsale|Rob Riggle|Sanjeev Bhaskar|Joanna Lumley,Terry Jones,85,5.8,2015,Comedy,Premiere Picture
120,1.355822,25000000.0,72629670.0,The Transporter Refueled,Ed Skrein|Ray Stevenson|Loan Chabanol|Gabriella Wright|Tatjana PajkoviÄ‡,Camille Delamarre,96,5.3,2015,Thriller,EuropaCorp
121,1.345982,55000000.0,74679822.0,Crimson Peak,Mia Wasikowska|Jessica Chastain|Tom Hiddleston|Charlie Hunnam|Jim Beaver,Guillermo del Toro,119,6.4,2015,Mystery,Legendary Pictures
122,1.342839,14767252.73739476,40086576.743638255,Everly,Salma Hayek|Hiroyuki Watanabe|Jennifer Blanc|Togo Igawa|Caroline Chikezie,Joe Lynch,90,5.1,2015,Thriller,Crime Scene Pictures
123,1.338481,14800000.0,122413057.0,Magic Mike XXL,Channing Tatum|Matt Bomer|Joe Manganiello|Kevin Nash|Adam RodrÃ­guez,Gregory Jacobs,115,6.3,2015,Comedy,Warner Bros.
124,1.338322,10000000.0,78099553.0,Paranormal Activity: The Ghost Dimension,Chris J. Murray|Brit Shaw|Ivy George|Lauren Frandsen|Tyler Craig,Gregory Plotkin,88,5.0,2015,Horror,Paramount Pictures
125,1.329702,14767252.73739476,229094.0,Slow West,Michael Fassbender|Kodi Smit-McPhee|Ben Mendelsohn|Caren Pistorius|Rory McCann,John Maclean,84,6.6,2015,Romance,The New Zealand Film Commission
126,1.316239,15000000.0,8235661.0,Trumbo,Bryan Cranston|Diane Lane|Helen Mirren|Elle Fanning|Louis C.K.,Jay Roach,124,7.2,2015,Drama,Groundswell Productions
127,1.315266,19500000.0,32189727.0,Secret in Their Eyes,Chiwetel Ejiofor|Nicole Kidman|Julia Roberts|Dean Norris|Lyndon Smith,Billy Ray,111,6.2,2015,Crime,Ingenious Media
128,1.29314,14767252.73739476,2500431.0,Mistress America,Greta Gerwig|Lola Kirke|Charlie Gillette|Dean Wareham|Heather Lind,Noah Baumbach,84,6.4,2015,Comedy,RT Features
129,1.291013,74000000.0,311594032.0,The SpongeBob Movie: Sponge Out of Water,Tom Kenny|Bill Fagerbakke|Rodger Bumpass|Clancy Brown|Carolyn Lawrence,Paul Tibbitt,93,5.7,2015,Family,Paramount Pictures
130,1.284541,14767252.73739476,4719695.0,True Story,Jonah Hill|James Franco|Felicity Jones|Maria Dizzia|Ethan Suplee,Rupert Goold,100,6.0,2015,Crime,Plan B Entertainment
131,1.278928,20000000.0,43967255.0,Max,Thomas Haden Church|Josh Wiggins|Lauren Graham|Robbie Amell|Mia Xitlali,Boaz Yakin,111,7.0,2015,Adventure,Sunswept Entertainment
132,1.25358,14767252.73739476,59700000.0,Shaun the Sheep Movie,Justin Fletcher|Omid Djalili|Richard Webber|Kate Harbour|Tim Hands,Mark Burton|Richard Starzack,85,6.9,2015,Family,Aardman Animations
133,1.251681,11000000.0,40086576.743638255,Louder Than Bombs,Gabriel Byrne|Isabelle Huppert|Jesse Eisenberg|Devin Druid|Amy Ryan,Joachim Trier,109,6.3,2015,Drama,Motlys
