,popularity,budget,profit_earned,revenue,original_title,cast,director,runtime,vote_average,release_year,genre,country,production_company
35,3.927333,0,29355203,29355203,Mr. Holmes,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,Bill Condon,103,6.4,2015,Thriller,Great Britain,BBC Films
36,3.899557,49000000,53069268,102069268,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,120,6.6,2015,Fantasy,United States,Columbia Pictures
37,3.877764,29000000,258506194,287506194,Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,115,6.8,2015,Comedy,United States,Universal Pictures
38,3.6482099999999997,40000000,122610473,162610473,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,Steven Spielberg,141,7.1,2015,Drama,United States,DreamWorks SKG
39,3.6445410000000003,58000000,92170815,150170815,Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,103,6.2,2015,Adventure,United States,Columbia Pictures
40,3.557846,6000000,29401758,35401758,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,117,8.0,2015,Drama,Ireland,Element Pictures
41,3.358321,0,22354572,22354572,Solace,Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton,Afonso Poyart,101,6.2,2015,Thriller,United States,Eden Rock Media
42,3.3391349999999997,175000000,156926147,331926147,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,93,6.6,2015,Animation,United States,Walt Disney Pictures
43,3.23737,50000000,21561644,71561644,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,114,6.3,2015,Action,United States,Vertigo Entertainment
44,3.227329,11000000,51076141,62076141,Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,111,7.3,2015,Comedy,"Ireland, Great Britain",Wildgaze Films
45,3.2027189999999996,28000000,173634991,201634991,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray,147,7.7,2015,Biography,United States,New Line Cinema
46,3.080505,90000000,50396650,140396650,The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Breck Eisner,106,5.6,2015,Action,United States,Summit Entertainment
47,3.0795220000000003,30000000,4441873,34441873,Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,Danny Boyle,122,6.9,2015,Biography,United States,Universal Pictures
48,3.0534209999999997,75000000,33145109,108145109,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Guy Ritchie,116,7.0,2015,Action,Great Britain,Davis Entertainment
49,3.023253,10000000,4333790,14333790,Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Ilya Naishuller,97,5.9,2015,Action,"Russia, United States",Bazelevs Production
50,2.976436,135000000,233871007,368871007,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,94,6.9,2015,Comedy,France,Twentieth Century Fox Film Corporation
60,2.968254,12000000,73512300,85512300,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,109,6.2,2015,Romantic,United States,Fox 2000 Pictures
61,2.93234,30000000,-30000000,0,Wild Card,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,Simon West,92,5.3,2015,Thriller,United States,Current Entertainment
62,2.8851259999999996,4000000,5064511,9064511,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,118,6.6,2015,Fantasy,"Greece, Great Britain, Ireland",Haut et Court
63,2.883233,11800000,28472135,40272135,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,118,7.1,2015,Drama,Great Britain,Killer Films
64,2.8148020000000002,35000000,159564672,194564672,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,121,7.1,2015,Comedy,United States,Waverly Films
65,2.7980169999999998,55000000,148427584,203427584,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,121,6.7,2015,Drama,Canada,Universal Pictures
69,2.793297,60000000,41134059,101134059,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,124,6.4,2015,Comedy,United States,Fox 2000 Pictures
71,2.6144990000000004,105000000,28718711,133718711,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,114,5.5,2015,Action,"United States, Japan",Studio Babelsberg
75,2.584264,20000000,16606743,36606743,Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,John Wells,100,6.3,2015,Comedy,United States,Double Feature Films
76,2.575711,60000000,-29581440,30418560,Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,106,5.3,2015,Comedy,United States,Lionsgate
77,2.557859,15000000,49191523,64191523,The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Tom Hooper,120,7.3,2015,Biography,United States,Pretty Pictures
78,2.5507470000000003,70000000,-52247060,17752940,Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Michael Mann,133,5.0,2015,Thriller,United States,Universal Pictures
79,2.487849,30000000,54025816,84025816,Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Denis Villeneuve,121,7.1,2015,Thriller,United States,Lionsgate
80,2.4870419999999998,120000001,47977595,167977596,Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Josh Trank,100,4.4,2015,Action,"United States, Germany",Twentieth Century Fox Film Corporation
82,2.46449,3500000,36923945,40423945,The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,92,5.8,2015,Horror,"United States, Canada",Parts and Labor
83,2.404473,65000000,170666219,235666219,Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Paul Feig,120,6.9,2015,Comedy,United States,Twentieth Century Fox Film Corporation
84,2.395366,50100000,103862963,153962963,Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,105,6.7,2015,Comedy,United States,Kramer & Sigman Films
85,2.354654,35000000,47347656,82347656,Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,96,5.5,2015,Action,United States,Twentieth Century Fox Film Corporation
86,2.345821,100000000,-6179242,93820758,In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Ron Howard,122,6.4,2015,Drama,United States,Imagine Entertainment
87,2.331636,20000000,-20000000,0,Survivor,Pierce Brosnan|Milla Jovovich|Dylan McDermott|Angela Bassett|Robert Forster,James McTeigue,96,5.4,2015,Action,"United States, South Africa",Nu Image Films
91,2.3315669999999997,35000000,102935567,137935567,Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Ryan Coogler,133,7.3,2015,Drama,United States,New Line Cinema
92,2.31767,35000000,105795793,140795793,Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Judd Apatow,125,6.1,2015,Comedy,United States,Universal Pictures
93,2.29573,13000000,19848185,32848185,Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Gavin Hood,102,7.2,2015,Thriller,Great Britain,Entertainment One
94,2.28135,25000000,17972994,42972994,Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Brian Helgeland,131,6.7,2015,Fantasy,Great Britain,Working Title Films
98,2.2720439999999997,0,45895,45895,Beyond the Reach,Michael Douglas|Jeremy Irvine|Hanna Mangan Lawrence|Ronny Cox|Martin Palmer,Jean-Baptiste LÃ©onetti,95,5.5,2015,Thriller,United States,Furthur Films
99,2.234573,150000000,-21611680,128388320,Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Joe Wright,111,5.9,2015,Fantasy,United States,Warner Bros.
100,2.141506,0,0,0,Me and Earl and the Dying Girl,Thomas Mann|RJ Cyler|Olivia Cooke|Connie Britton|Nick Offerman,Alfonso Gomez-Rejon,105,7.7,2015,Comedy,United States,Indian Paintbrush
101,2.121884,35000000,13623572,48623572,Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Peter Landesman,123,6.9,2015,Drama,United States,Village Roadshow Pictures
105,2.096273,25000000,27395996,52395996,The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Jonathan Levine,100,6.1,2015,Comedy,United States,Sony Pictures
106,2.0809349999999998,2500000,2714043,5214043,Knock Knock,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,Eli Roth,99,4.8,2015,Thriller,"Chile, United States",Universum Film (UFA)
107,2.070708,34000000,29013281,63013281,The Longest Ride,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,"George Tillman, Jr.",128,7.3,2015,Drama,United States,Fox 2000 Pictures
108,2.060162,80000000,386183544,466183544,Hotel Transylvania 2,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,Genndy Tartakovsky,89,6.8,2015,Animation,United States,Columbia Pictures
109,2.055572,17000000,7000000,24000000,Love the Coopers,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,Jessie Nelson,107,5.3,2015,Comedy,United States,Imagine Entertainment
110,2.049886,35000000,26181942,61181942,The Walk,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,Robert Zemeckis,123,6.8,2015,Drama,United States,TriStar Pictures
111,2.0266509999999998,11000000,-9136685,1863315,Tracers,Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina,Daniel Benmayor,94,5.9,2015,Action,United States,Temple Hill Entertainment
112,2.000338,31000000,73384188,104384188,Vacation,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,John Francis Daley|Jonathan M. Goldstein,99,6.1,2015,Comedy,United States,New Line Cinema
113,1.984529,35000000,60437994,95437994,Poltergeist,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,Gil Kenan,93,5.0,2015,Horror,United States,Ghost House Pictures
117,1.9800389999999999,4000000,-3812888,187112,Maggie,Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore,Henry Hobson,95,5.1,2015,Drama,United States,Lionsgate
118,1.9597650000000002,0,2000000,2000000,Equals,Kristen Stewart|Nicholas Hoult|Guy Pearce|Jacki Weaver|Bel Powley,Drake Doremus,101,5.6,2015,Drama,United States,Scott Free Productions
119,1.95632,50000000,-46675670,3324330,Child 44,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,Daniel Espinosa,137,5.9,2015,Drama,United States,Summit Entertainment
120,1.926739,5000000,53978653,58978653,The Gift,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,Joel Edgerton,108,6.6,2015,Thriller,United States,Blumhouse Productions
124,1.904898,50000000,190360392,240360392,Daddy's Home,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,Sean Anders,96,5.7,2015,Comedy,United States,Paramount Pictures
125,1.872696,10000000,-10000000,0,Vice,Ambyr Childers|Thomas Jane|Bryan Greenberg|Bruce Willis|Johnathon Schaech,Brian A Miller,96,4.1,2015,Action,United States,Grindstone Entertainment Group
127,1.841779,0,233755553,233755553,Alvin and the Chipmunks: The Road Chip,Jason Lee|Justin Long|Bella Thorne|Matthew Gray Gubler|Jesse McCartney,Walt Becker,92,5.7,2015,Animation,United States,Regency Enterprises
128,1.82313,11930000,6410000,18340000,The Dressmaker,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,Jocelyn Moorhouse,118,6.9,2015,Drama,Great Britain,Amazon Studios
130,1.758618,8500000,35028634,43528634,The DUFF,Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels,Ari Sandel,100,6.8,2015,Comedy,United States,Wonderland Sound and Vision
131,1.742286,10000000,42882018,52882018,Sinister 2,Shannyn Sossamon|James Ransone|Tate Ellington|Nicholas King|Lucas Jade Zumann,Ciaran Foy,97,5.5,2015,Horror,United States,Alliance Films
132,1.73518,30000000,77597242,107597242,Paul Blart: Mall Cop 2,Kevin James|Raini Rodriguez|Eduardo VerÃ¡stegui|Daniella Alonso|Neal McDonough,Andy Fickman,94,5.3,2015,Comedy,United States,Columbia Pictures
133,1.661789,0,0,0,High-Rise,Tom Hiddleston|Sienna Miller|Jeremy Irons|Luke Evans|Elisabeth Moss,Ben Wheatley,119,5.4,2015,Action,Great Britain,Ingenious Media
134,1.6510779999999898,4000000,46163103,50163103,The Boy Next Door,Jennifer Lopez|Ryan Guzman|Ian Nelson|John Corbett|Kristin Chenoweth,Rob Cohen,91,3.9,2015,Thriller,Canada,Universal Pictures
136,1.646664,0,0,0,Spooks: The Greater Good,Peter Firth|Kit Harington|Jennifer Ehle|Lara Pulver|Elyes Gabel,Bharat Nalluri,104,5.6,2015,Action,Great Britain,BBC Films
137,1.532997,30000000,19263404,49263404,Entourage,Jeremy Piven|Adrian Grenier|Jerry Ferrara|Kevin Connolly|Kevin Dillon,Doug Ellin,104,6.2,2015,Comedy,United States,Warner Bros.
138,1.5100959999999999,23000000,56799880,79799880,The Wedding Ringer,Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett|Jorge Garcia,Jeremy Garelick,101,6.5,2015,Comedy,United States,Miramax Films
139,1.499614,15000000,-139234,14860766,Scouts Guide to the Zombie Apocalypse,Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner,Christopher B. Landon,93,6.2,2015,Comedy,United States,Paramount Pictures
140,1.495112,5000000,93450062,98450062,The Visit,Olivia DeJonge|Ed Oxenbould|Kathryn Hahn|Benjamin Kanes|Deanna Dunagan,M. Night Shyamalan,94,5.9,2015,Drama,United States,Blumhouse Productions
143,1.4832459999999899,53000000,46775678,99775678,Black Mass,Johnny Depp|Joel Edgerton|Benedict Cumberbatch|Dakota Johnson|Kevin Bacon,Scott Cooper,122,6.3,2015,Gangster,United States,Infinitum Nihil
144,1.449072,8900000,-8849864,50136,Heist,Jeffrey Dean Morgan|Robert De Niro|Kate Bosworth|Dave Bautista|Gina Carano,Scott Mann,93,5.4,2015,Noir,"Canada, United States",Emmett/Furla Films
148,1.448002,15000000,46548707,61548707,Krampus,Adam Scott|Toni Collette|Allison Tolman|David Koechner|Emjay Anthony,Michael Dougherty,98,5.9,2015,Comedy,United States,Universal Pictures
149,1.443406,20000000,-19791412,208588,Dark Places,Charlize Theron|Nicholas Hoult|Christina Hendricks|ChloÃ« Grace Moretz|Tye Sheridan,Gilles Paquet-Brenner,113,5.7,2015,Horror,Great Britain,Denver and Delilah Productions
151,1.41239,5000000,49418872,54418872,No Escape,Owen Wilson|Lake Bell|Pierce Brosnan|Sterling Jerins|Spencer Garrett,John Erick Dowdle,103,6.7,2015,Thriller,United States,Bold Films
153,1.40805,700000,17286781,17986781,Dope,Shameik Moore|Kiersey Clemons|Tony Revolori|ZoÃ« Kravitz|Chanel Iman,Rick Famuyiwa,103,7.3,2015,Comedy,United States,Forest Whitaker's Significant Productions
154,1.3882510000000001,28000000,208085,28208085,American Ultra,Jesse Eisenberg|Kristen Stewart|Topher Grace|Connie Britton|Walton Goggins,Nima Nourizadeh,96,5.9,2015,Action,United States,Concorde Filmverleih
155,1.388032,11000000,50619773,61619773,Woman in Gold,Helen Mirren|Ryan Reynolds|Tatiana Maslany|Katie Holmes|Max Irons,Simon Curtis,120,7.3,2015,Drama,"United States, Great Britain",BBC Films
156,1.3766049999999999,30000000,75011053,105011053,Sisters,Tina Fey|Amy Poehler|John Leguizamo|Ike Barinholtz|Maya Rudolph,Jason Moore,118,5.9,2015,Thriller,United States,Little Stranger
162,1.360926,12000000,20248241,32248241,Project Almanac,Jonny Weston|Virginia Gardner|Sofia Black-D'Elia|Sam Lerner|Allen Evangelista,Dean Israelite,106,6.3,2015,Fantasy,United States,Paramount Pictures
163,1.345982,55000000,19679822,74679822,Crimson Peak,Mia Wasikowska|Jessica Chastain|Tom Hiddleston|Charlie Hunnam|Jim Beaver,Guillermo del Toro,119,6.4,2015,Horror,United States,Legendary Pictures
164,1.342839,0,0,0,Everly,Salma Hayek|Hiroyuki Watanabe|Jennifer Blanc|Togo Igawa|Caroline Chikezie,Joe Lynch,90,5.1,2015,Action,United States,Crime Scene Pictures
165,1.338481,14800000,107613057,122413057,Magic Mike XXL,Channing Tatum|Matt Bomer|Joe Manganiello|Kevin Nash|Adam RodrÃ­guez,Gregory Jacobs,115,6.3,2015,Comedy,United States,Warner Bros.
166,1.338322,10000000,68099553,78099553,Paranormal Activity: The Ghost Dimension,Chris J. Murray|Brit Shaw|Ivy George|Lauren Frandsen|Tyler Craig,Gregory Plotkin,88,5.0,2015,Horror,United States,Paramount Pictures
167,1.329702,0,229094,229094,Slow West,Michael Fassbender|Kodi Smit-McPhee|Ben Mendelsohn|Caren Pistorius|Rory McCann,John Maclean,84,6.6,2015,Western,Great Britain,The New Zealand Film Commission
168,1.316239,15000000,-6764339,8235661,Trumbo,Bryan Cranston|Diane Lane|Helen Mirren|Elle Fanning|Louis C.K.,Jay Roach,124,7.2,2015,Biography,United States,Groundswell Productions
169,1.315266,19500000,12689727,32189727,Secret in Their Eyes,Chiwetel Ejiofor|Nicole Kidman|Julia Roberts|Dean Norris|Lyndon Smith,Billy Ray,111,6.2,2015,Thriller,United States,Ingenious Media
170,1.29314,0,2500431,2500431,Mistress America,Greta Gerwig|Lola Kirke|Charlie Gillette|Dean Wareham|Heather Lind,Noah Baumbach,84,6.4,2015,Comedy,United States,RT Features
171,1.284541,0,4719695,4719695,True Story,Jonah Hill|James Franco|Felicity Jones|Maria Dizzia|Ethan Suplee,Rupert Goold,100,6.0,2015,Drama,United States,Plan B Entertainment
172,1.278928,20000000,23967255,43967255,Max,Thomas Haden Church|Josh Wiggins|Lauren Graham|Robbie Amell|Mia Xitlali,Boaz Yakin,111,7.0,2015,Adventure,United States,Sunswept Entertainment
174,1.251681,11000000,-11000000,0,Louder Than Bombs,Gabriel Byrne|Isabelle Huppert|Jesse Eisenberg|Devin Druid|Amy Ryan,Joachim Trier,109,6.3,2015,Drama,United States,Motlys
175,1.2452239999999999,0,1702433,1702433,A Perfect Day,Olga Kurylenko|Benicio del Toro|Tim Robbins|MÃ©lanie Thierry|Fedja Stukan,Fernando LeÃ³n de Aranoa,106,6.3,2015,Drama,United States,Reposado Producciones
177,1.225325,40000000,-29335251,10664749,The Gunman,Sean Penn|Jasmine Trinca|Javier Bardem|Ray Winstone|Mark Rylance,Pierre Morel,115,5.6,2015,Action,"United States, France, Spain",StudioCanal
178,1.178831,35000000,16680201,51680201,Hot Pursuit,Reese Witherspoon|SofÃ­a Vergara|Michael Mosley|John Carroll Lynch|Richard T. Jones,Anne Fletcher,87,5.5,2015,Comedy,United States,New Line Cinema
182,1.1647239999999999,10000000,94303851,104303851,Insidious: Chapter 3,Dermot Mulroney|Stefanie Scott|Lin Shaye|Leigh Whannell|Angus Sampson,Leigh Whannell,97,6.3,2015,Horror,United States,Sony Pictures
183,1.161812,0,118483,118483,Z for Zachariah,Margot Robbie|Chiwetel Ejiofor|Chris Pine,Craig Zobel,97,5.5,2015,Fantasy,United States,Palomar Pictures
184,1.144808,0,0,0,Dragonheart 3: The Sorcerer's Curse,Julian Morris|Tamzin Merchant|Jassa Ahluwalia|Ben Kingsley|Jonjo O'Neill,Colin Teague,97,4.5,2015,Fantasy,United States,Raffaella Productions
185,1.142518,6000000,35387687,41387687,The Lady in the Van,Maggie Smith|Alex Jennings|Frances de la Tour|Gwen Taylor|Dominic Cooper,Nicholas Hytner,104,5.9,2015,Biography,Great Britain,BBC Films
186,1.138395,40000000,-5772702,34227298,Victor Frankenstein,James McAvoy|Daniel Radcliffe|Jessica Brown Findlay|Andrew Scott|Charles Dance,Paul McGuigan,109,5.5,2015,Drama,United States,Twentieth Century Fox Film Corporation
187,1.1252389999999999,8000000,-4240714,3759286,Anomalisa,Jennifer Jason Leigh|David Thewlis|Tom Noonan,Duke Johnson|Charlie Kaufman,90,6.7,2015,Animation,United States,Starburns Industries
188,1.0733489999999999,1800000,-1800000,0,Bone Tomahawk,Kurt Russell|Richard Jenkins|Matthew Fox|Lili Simmons|Sean Young,S. Craig Zahler,132,6.3,2015,Horror,United States,Caliber Media Company
189,1.065888,0,17671101,17671101,Regression,Ethan Hawke|Emma Watson|Aaron Ashmore|Devon Bostick|David Thewlis,Alejandro AmenÃ¡bar,106,5.2,2015,Thriller,"Spain, United States",The Weinstein Company
